School Name,Category,Street Address,City,State,ZIP Code,Students,Grant Category,Organization Name,Fiscal Year,Mapped Location
Norman Binkley Elementary School,MNPS,4700 West Longdale Drive,Nashville,TN,37211,314,Basic Operating,Nashville Children's Theatre,FY16,
Goodlettsville Middle Prep,MNPS,300 South Main Street,Goodlettsville,TN,37072,127,Basic Operating,Tennessee Performing Arts Center,FY16,
Hillsboro High School,MNPS,400 Davidson Road,Nashville,TN,37205,1,Basic Operating,Nashville Jazz Workshop,FY16,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
Homeschool,Home Schooled,,,TN,,30,Basic Operating,Cheekwood,FY17,"TN
(35.842998, -86.343226)"
John Overton High School,MNPS,4820 Franklin Road,Nashville,TN,37220,217,Basic Operating,Nashville Symphony,FY16,
Pennington Elementary School,MNPS,2817 Donna Hill Drive,Nashville,TN,37214,1,After-School Arts,Frist Center for the Visual Arts,FY16,
Cane Ridge Elementary,MNPS,3884 Asheford Trace,Antioch,TN,37013,4,Basic Operating,W.O. Smith Music School,FY16,
Homeschool,Home Schooled,,,TN,,1,Basic Operating,Nashville Jazz Workshop,FY16,"TN
(35.842998, -86.343226)"
Bellevue Community Center,Community Center,650� Colice Jeanne Road,Nashville,TN,37221,10,Basic operating,Frist Art Museum,FY19,
Cane Ridge Elementary School,MNPS,3884 Asheford Trace,Antioch,TN,37013,140,Basic Operating,Nashville Children's Theatre,FY19,
WHITES CREEK HIGH SCHOOL,MNPS,7277 OLD HICKORY BLVD,NASHVILLE,TN,37189,5,Basic Operating,Nashville Children's Theatre,FY19,
Page Middle School,MNPS,6262 Arno Rd,Franklin,TN,37064,2,Core Operating,Theater Bug,FY19,"6262 Arno Rd
Franklin, TN 37064
(35.849891, -86.75378)"
Hume Fogg,MNPS,700 Broadway,Nashville,TN,37203,15,Basic Operating,Nashville Jazz Workshop,FY19,"700 Broadway
Nashville, TN 37203
(36.159164, -86.781476)"
Madison Middle Prep,MNPS,300 West Old Hickory Blvd,Madison,TN,37115,20,Arts Access,"Belcourt Theatre, Inc",FY16,"300 West Old Hickory Blvd
Madison, TN 37115
(36.263489, -86.716018)"
Charlotte Park Elementary School,MNPS,480 Annex Avenue,Nashville,TN,37209,110,Basic Operating,Nashville Symphony,FY16,"480 Annex Avenue
Nashville, TN 37209
(36.15212, -86.88324)"
Buena Vista Enhanced Option Elementary School,MNPS,1531 9th Avenue North,Nashville,TN,37208,1,Basic Operating,"Watkins College of Art, Design, and Film",FY17,"1531 9th Avenue North
Nashville, TN 37208
(36.177928, -86.797921)"
Bellshire Elementary Design Center,MNPS,1128 Bell Grimes Lane,Nashville,TN,37207,121,Basic Operating,Nashville Children's Theatre,FY19,"1128 Bell Grimes Lane
Nashville, TN 37207
(36.268937, -86.761344)"
Abintra Montessori School,Private,914 Davidson Drive,Nashville,TN,37205,50,Basic Operating,Tennessee Performing Arts Center,FY17,"914 Davidson Drive
Nashville, TN 37205
(36.118209, -86.899237)"
Harris-Hillman School,MNPS,1706 26th Avenue South,Nashville,TN,37212,150,Basic Operating,Nashville Ballet,FY17,"1706 26th Avenue South
Nashville, TN 37212
(36.137515, -86.808046)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,104,Basic Operating,Country Music Foundation,FY17,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
LEAD Academy High School,MNPS,1034 1st Avenue South,Nashville,TN,37210,10,Basic Operating,Southern Word,FY16,"1034 1st Avenue South
Nashville, TN 37210
(36.148899, -86.765038)"
East End Prep,MNPS,1460 McGavock Pike,Nashville,TN,37216,230,Basic Operating,Nashville Symphony,FY16,"1460 McGavock Pike
Nashville, TN 37216
(36.207179, -86.718799)"
Hattie Cotton Elementary,MNPS,1033 W Greenwood Ave,Nashville,TN,37206,19,Youth Arts,"Notes for Notes, Inc",FY19,"1033 W Greenwood Ave
Nashville, TN 37206
(36.190618, -86.747804)"
Community Based Transition - MNPS,MNPS,2014 Broadway #260,Nashville,TN,37203-2450,9,Basic Operating,Cheekwood,FY19,"2014 Broadway #260
Nashville, TN 37203-2450
(36.148822, -86.798903)"
McGavock High School,MNPS,3150 McGavock Pike,Nashville,TN,37214,63,Basic Operating,Tennessee Performing Arts Center,FY16,"3150 McGavock Pike
Nashville, TN 37214
(36.185147, -86.67648)"
Antioch Middle Prep,MNPS,5050 Blue Hole Road,Antioch,TN,37013,1,Basic Operating,Actors Bridge Ensemble,FY17,"5050 Blue Hole Road
Antioch, TN 37013
(36.056908, -86.672419)"
Home School,Home Schooled,Various addresses,Joelton,TN,37080,4,Basic Operating,Global Education Center,FY19,
Christ Presbyterian Academy,Private,2323 Old Hickory Boulevard,Nashville,TN,37215,60,Basic Operating,Country Music Foundation,FY16,"2323 Old Hickory Boulevard
Nashville, TN 37215
(36.050647, -86.878085)"
John F. Kennedy Middle School,MNPS,2087 Hobson Pike,Antioch,TN,37013,4,Basic Operating,W.O. Smith Music School,FY16,"2087 Hobson Pike
Antioch, TN 37013
(36.054839, -86.598929)"
Martin Luther King Jr. Magnet School,MNPS,613 17th Avenue North,Nashville,TN,37203,1100,Basic Operating,Southern Word,FY16,"613 17th Avenue North
Nashville, TN 37203
(36.162085, -86.800393)"
